"cluster","genes","expressions"
"COVID","Helper",0.399927223085674
"COVID","Helper",0.372783116917143
"COVID","Helper",0.350016262483208
"COVID","Helper",0.317839304967066
"COVID","Helper",0.392686956199091
"COVID","Helper",0.469508871149142
"COVID","Helper",0.394083223931013
"COVID","Helper",0.273882790998609
"COVID","Helper",0.338247659881398
"COVID","Helper",0.336914434407868
"COVID","Helper",0.274051661953325
"COVID","Helper",0.26940639439269
"COVID","Helper",0.280977009096989
"COVID","Helper",0.350825722021661
"COVID","Helper",0.41515715232633
"COVID","Helper",0.256330013040523
"COVID","Helper",0.253108044242599
"COVID","Helper",0.313263692488182
"COVID","Helper",0.253823483242348
"COVID","Helper",0.384147250328248
"COVID","Helper",0.344483466607663
"COVID","Helper",0.411045146492179
"COVID","Helper",0.324018687896383
"COVID","Helper",0.220146499829186
"COVID","Helper",0.201484580282203
"COVID","Helper",0.240137058599656
"COVID","Helper",0.167504288731151
"COVID","Helper",0.220422141651317
"COVID","Helper",0.324738061201328
"COVID","Helper",0.305628614165632
"COVID","Helper",0.256980244664397
"COVID","Helper",0.232863358801872
"COVID","Helper",0.231675669364469
"COVID","Helper",0.300336065150614
"COVID","Helper",0.300845964997764
"COVID","Helper",0.219607253328326
"COVID","Helper",0.226974730113949
"COVID","Helper",0.27071068441978
"COVID","Helper",0.201910373881687
"COVID","Helper",0.260262327364739
"COVID","Helper",0.242112513818146
"COVID","Helper",0.223967919200499
"COVID","Helper",0.257887244830305
"COVID","Helper",0.309440086889687
"COVID","Helper",0.278180865499112
"COVID","Helper",0.143915768886851
"COVID","Helper",0.292189971251767
"COVID","Helper",0.202101681475595
"COVID","Helper",0.263047756585129
"COVID","Helper",0.273291288848023
"COVID","Helper",0.225156969159526
"COVID","Helper",0.282445591641603
"COVID","Helper",0.305401220919118
"COVID","Helper",0.543798301970547
"COVID","Helper",0.274770446167461
"COVID","Helper",0.225685106999668
"COVID","Helper",0.214918392786392
"COVID","Helper",0.319816916726296
"COVID","Helper",0.279073096193767
"COVID","Helper",0.255235143080307
"COVID","Helper",0.222316044738494
"COVID","Helper",0.193310497046185
"COVID","Helper",0.277857720557154
"COVID","Helper",0.324339934028767
"COVID","Helper",0.224146137200293
"COVID","Helper",0.256075120815823
"COVID","Helper",0.217352088020211
"COVID","Helper",0.168395754831502
"COVID","Helper",0.135763302532359
"COVID","Helper",0.208316643052902
"COVID","Helper",0.24967281291961
"COVID","Helper",0.207028629968985
"COVID","Helper",0.0245426415363515
"COVID","Helper",0.203784672431196
"COVID","Helper",0.18823003846677
"COVID","Helper",0.222311962055253
"COVID","Helper",0.216243651100411
"COVID","Helper",0.214447613119331
"COVID","Helper",0.270407968962707
"COVID","Helper",0.255480527391658
"COVID","Helper",0.294468066978606
"COVID","Helper",0.215461473027761
"COVID","Helper",0.229637291715328
"COVID","Helper",0.215456097587553
"COVID","Helper",0.272867837623711
"COVID","Helper",0.231186847477292
"COVID","Helper",0.230978098466736
"COVID","Helper",0.271512289042642
"COVID","Helper",0.344647780386429
"COVID","Helper",0.296841146622907
"COVID","Helper",0.241739453568577
"COVID","Helper",0.344518743520466
"COVID","Helper",0.193848017468067
"COVID","Helper",0.231032051372045
"COVID","Helper",0.33599480009406
"COVID","Helper",0.219334909872071
"COVID","Helper",0.251777359604068
"COVID","Helper",0.103995202475309
"COVID","Helper",0.254090799499699
"COVID","Helper",0.260614661961291
"COVID","Helper",0.25252362877947
"COVID","Helper",0.200150263746347
"COVID","Helper",0.27546252452044
"COVID","Helper",0.25731412867934
"COVID","Helper",0.260948779215015
"COVID","Helper",0.380574142277052
"COVID","Helper",0.239520217462228
"COVID","Helper",0.306059287087331
"COVID","Helper",0.233361055859712
"COVID","Helper",0.276520813471334
"COVID","Helper",0.287345094718521
"COVID","Helper",0.252710957977771
"COVID","Helper",0.344044854891194
"COVID","Helper",0.330097396110795
"COVID","Helper",0.284686087733946
"COVID","Helper",0.340139365243644
"COVID","Helper",0.240434948742587
"COVID","Helper",0.230751769468021
"COVID","Helper",0.228412091231072
"COVID","Helper",0.306477042689329
"COVID","Helper",0.279948083075319
"COVID","Helper",0.310081275493495
"COVID","Helper",0.183591799889998
"COVID","Helper",0.251576308136748
"COVID","Helper",0.296059861317012
"COVID","Helper",0.294287727935135
"COVID","Helper",0.266945026454834
"COVID","Helper",0.295490783287994
"COVID","Helper",0.230597114172965
"COVID","Helper",0.306545666370235
"COVID","Helper",0.278520265283513
"COVID","Helper",0.284894885597668
"COVID","Helper",0.30858122520634
"COVID","Helper",0.248324233574951
"COVID","Helper",0.316525861907305
"COVID","Helper",0.306274807115442
"COVID","Helper",0.248031678294193
