"score_type","score","cell_type"
"Cytotoxicity",0.511098254028932,"CD4 Th1"
"Cytotoxicity",0.545653219917719,"CD4 Th1"
"Cytotoxicity",0.570534041725788,"CD4 Th1"
"Cytotoxicity",0.607200220316693,"CD4 Th1"
"Cytotoxicity",0.518054962478764,"CD4 Th1"
"Cytotoxicity",0.566159014790489,"CD4 Th1"
"Cytotoxicity",0.524914057582225,"CD4 Th1"
"Cytotoxicity",0.529246938682473,"CD4 Th1"
"Cytotoxicity",0.480580798833763,"CD4 Th1"
"Cytotoxicity",0.47918499489224,"CD4 Th1"
"Cytotoxicity",0.524788735713345,"CD4 Th1"
"Cytotoxicity",0.507708776788311,"CD4 Th1"
"Cytotoxicity",0.526565314548253,"CD4 Th1"
"Cytotoxicity",0.557631542723414,"CD4 Th1"
"Cytotoxicity",0.540932010347369,"CD4 Th1"
"Cytotoxicity",0.53030661812486,"CD4 Th1"
"Cytotoxicity",0.398684981741951,"CD4 Th17"
"Cytotoxicity",0.436473310665216,"CD4 Th17"
"Cytotoxicity",0.427641862910349,"CD4 Th17"
"Cytotoxicity",0.473775700237782,"CD4 Th17"
"Cytotoxicity",0.371508881573966,"CD4 Th17"
"Cytotoxicity",0.413911864366341,"CD4 Th17"
"Cytotoxicity",0.411949365605083,"CD4 Th17"
"Cytotoxicity",0.380757265755169,"CD4 Th17"
"Cytotoxicity",0.437917306401066,"CD4 Th17"
"Cytotoxicity",0.409605018950728,"CD4 Th17"
"Cytotoxicity",0.50082990128575,"CD4 Th17"
"Cytotoxicity",0.396207229200395,"CD4 Th17"
"Cytotoxicity",0.48225395493069,"CD4 Th17"
"Cytotoxicity",0.414427879741452,"CD4 Th17"
"Cytotoxicity",0.443492078863026,"CD4 Th17"
"Cytotoxicity",0.458922708883095,"CD4 Th17"
"Cytotoxicity",0.399487309443237,"CD4 Th17"
"Cytotoxicity",0.464223422167736,"CD4 Th17"
"Cytotoxicity",0.385292577635539,"CD4 Th17"
"Cytotoxicity",0.423447938641151,"CD4 Th17"
"Cytotoxicity",0.392038717975186,"CD4 Th17"
"Cytotoxicity",0.481989662523245,"CD4 Th17"
"Cytotoxicity",0.416588277480092,"CD4 Th17"
"Cytotoxicity",0.363835200649265,"CD4 Th17"
"Cytotoxicity",0.317354408362262,"CD4 Th17"
"Cytotoxicity",0.308441523861039,"CD4 Th17"
"Cytotoxicity",0.516493279560325,"CD4 Th17"
"Cytotoxicity",0.436920559752719,"CD4 Th17"
"Cytotoxicity",0.410869624000973,"CD4 Th17"
"Cytotoxicity",0.423029762027925,"CD4 Th17"
"Cytotoxicity",0.439585364059933,"CD4 Th17"
"Cytotoxicity",0.429476892329521,"CD4 Th17"
"Cytotoxicity",0.406039582464485,"CD4 Th17"
"Cytotoxicity",0.462184712775078,"CD4 Th17"
"Cytotoxicity",0.35567640660134,"CD4 Th17"
"Cytotoxicity",0.485490014916896,"CD4 Th17"
"Cytotoxicity",0.499757465834822,"CD4 Th17"
"Cytotoxicity",0.422971171698937,"CD4 Th17"
"Cytotoxicity",0.464358743301571,"CD4 Th17"
"Cytotoxicity",0.504953090346458,"CD4 Th17"
"Cytotoxicity",0.518671170889695,"CD4 Th17"
"Cytotoxicity",0.482424711618276,"CD4 Th17"
"Cytotoxicity",0.460069370904912,"CD4 Th17"
"Cytotoxicity",0.473571275920911,"CD4 Th17"
"Cytotoxicity",0.477519339101965,"CD4 Th17"
"Cytotoxicity",0.360551399655226,"CD4 Th17"
"Cytotoxicity",0.271142013019187,"CD4 Tn"
"Cytotoxicity",0.213870139528812,"CD4 Tn"
"Cytotoxicity",0.248938598305464,"CD4 Tn"
"Cytotoxicity",0.29695256706226,"CD4 Tn"
"Cytotoxicity",0.269757727545679,"CD4 Tn"
"Cytotoxicity",0.281247195829825,"CD4 Tn"
"Cytotoxicity",0.208863305307433,"CD4 Tn"
"Cytotoxicity",0.271126110898522,"CD4 Tn"
"Cytotoxicity",0.220842585354486,"CD4 Tn"
"Cytotoxicity",0.227805796478527,"CD4 Tn"
"Cytotoxicity",0.27952995157312,"CD4 Tn"
"Cytotoxicity",0.228272663563689,"CD4 Tn"
"Cytotoxicity",0.25553229808698,"CD4 Tn"
"Cytotoxicity",0.235315556064629,"CD4 Tn"
"Cytotoxicity",0.231549326763856,"CD4 Tn"
"Cytotoxicity",0.1906143864959,"CD4 Tn"
"Cytotoxicity",0.267351534861305,"CD4 Tn"
"Cytotoxicity",0.204015936660316,"CD4 Tn"
"Cytotoxicity",0.256951206062772,"CD4 Tn"
"Cytotoxicity",0.201072478555195,"CD4 Tn"
"Cytotoxicity",0.207972252849031,"CD4 Tn"
"Cytotoxicity",0.300351188475373,"CD4 Tn"
"Cytotoxicity",0.287316843637672,"CD4 Tn"
"Cytotoxicity",0.260488252789439,"CD4 Tn"
"Cytotoxicity",0.290309699762453,"CD4 Tn"
"Cytotoxicity",0.204919386803846,"CD4 Tn"
"Cytotoxicity",0.307630969409683,"CD4 Tn"
"Cytotoxicity",0.246023925064985,"CD4 Tn"
"Cytotoxicity",0.234870512606735,"CD4 Tn"
"Cytotoxicity",0.306037047903209,"CD4 Tn"
"Cytotoxicity",0.310683445730877,"CD4 Tn"
"Cytotoxicity",0.260724662543149,"CD4 Tn"
"Cytotoxicity",0.267584221043777,"CD4 Tn"
"Cytotoxicity",0.238860236039749,"CD4 Tn"
"Cytotoxicity",0.31777085674472,"CD4 Tn"
"Cytotoxicity",0.264998431564136,"CD4 Tn"
"Cytotoxicity",0.281956429798723,"CD4 Tn"
"Cytotoxicity",0.291650209607113,"CD4 Tn"
"Cytotoxicity",0.277499490788258,"CD4 Tn"
"Cytotoxicity",0.27972959428209,"CD4 Tn"
"Cytotoxicity",0.252659706488331,"CD4 Tn"
"Cytotoxicity",0.279704562385572,"CD4 Tn"
"Cytotoxicity",0.306830617821932,"CD4 Tn"
"Cytotoxicity",0.203629135212692,"CD4 Tn"
"Cytotoxicity",0.198957793261818,"CD4 Tn"
"Cytotoxicity",0.227929482619619,"CD4 Tn"
"Cytotoxicity",0.255453600180727,"CD4 Tn"
"Cytotoxicity",0.228280462583706,"CD4 Tn"
"Cytotoxicity",0.268714291158089,"CD4 Tn"
"Cytotoxicity",0.244418918933926,"CD4 Tn"
"Cytotoxicity",0.243202775668995,"CD4 Tn"
"Cytotoxicity",0.268411505637324,"CD4 Tn"
"Cytotoxicity",0.212943850549224,"CD4 Tn"
"Cytotoxicity",0.273004972740833,"CD4 Tn"
"Cytotoxicity",0.205630851867441,"CD4 Tn"
"Cytotoxicity",0.22728971183611,"CD4 Tn"
"Cytotoxicity",0.26718313184984,"CD4 Tn"
"Cytotoxicity",0.283316096181435,"CD4 Tn"
"Cytotoxicity",0.2706587809138,"CD4 Tn"
"Cytotoxicity",0.264331106764339,"CD4 Tn"
"Cytotoxicity",0.222303149930146,"CD4 Tn"
"Cytotoxicity",0.239458036471118,"CD4 Tn"
"Cytotoxicity",0.208585766182184,"CD4 Tn"
"Cytotoxicity",0.254895830278944,"CD4 Tn"
"Cytotoxicity",0.214872817932209,"CD4 Tn"
"Cytotoxicity",0.218126944866714,"CD4 Tn"
"Cytotoxicity",0.21806812619083,"CD4 Tn"
